Location,Area,No. of Bedrooms,Price
Kharghar,650,1,4200000
Kharghar,700,1,5200000
Kharghar,646,1,4200000
Kharghar,650,1,6500000
Kharghar,740,1,6000000
Kharghar,570,1,5000000
Kharghar,670,1,5500000
Kharghar,680,1,4200000
Kharghar,636,1,5500000
Kharghar,640,1,4300000
Kharghar,1700,3,15500000
Kharghar,1635,3,16500000
Kharghar,1550,3,11399999
Kharghar,1530,3,12000000
Kharghar,1500,3,13500000
Kharghar,1750,3,16000000
Kharghar,1590,3,22000000
Kharghar,1415,3,11000000
Kharghar,1650,3,16600000
Kharghar,1687,3,14000000
Kharghar,1150,2,8500000
Kharghar,1050,2,7500000
Kharghar,555,1,6000000
Kharghar,600,1,4900000
Kharghar,646,1,4200000
Kharghar,650,1,6500000
Kharghar,650,1,4500000
Kharghar,740,1,6000000
Kharghar,670,1,5500000
Kharghar,640,1,4300000
Kharghar,650,1,5500000
Kharghar,1400,3,13500000
Kharghar,1750,3,16000000
Kharghar,1780,3,15000000
Kharghar,1415,3,11000000
Kharghar,1687,3,14000000
Kharghar,1100,2,6900000
Kharghar,1050,2,8300000
Kharghar,1160,2,9000000
Kharghar,700,1,5100000
Kharghar,625,1,5200000
Kharghar,646,1,4200000
Kharghar,670,1,5500000
Kharghar,550,1,5500000
Kharghar,650,1,6500000
Kharghar,650,1,5400000
Kharghar,660,1,5300000
Kharghar,550,1,5500000
Kharghar,570,1,5000000
Kharghar,1415,3,11000000
Kharghar,1550,3,14000000
Kharghar,1760,3,17100000
Kharghar,1750,3,16000000
Kharghar,1475,3,11800000
Kharghar,759,1,6000000
Kharghar,600,1,4850000
Kharghar,640,1,4300000
Kharghar,550,1,4500000
Kharghar,620,1,4100000
Kharghar,550,1,5000000
Kharghar,745,1,5500000
Kharghar,580,1,4500000
Kharghar,570,1,5000000
Kharghar,670,1,5300000
Kharghar,1845,3,19000000
Kharghar,1700,3,15500000
Kharghar,1400,3,13500000
Kharghar,1680,3,13600000
Kharghar,1645,3,15500000
Kharghar,1585,3,16500000
Kharghar,1350,2,8600000
Kharghar,1075,2,10000000
Kharghar,1155,2,10500000
Kharghar,625,1,4700000
Kharghar,720,1,6200000
Kharghar,550,1,4500000
Kharghar,735,1,6900000
Kharghar,580,1,4500000
Kharghar,1505,3,10000000
Kharghar,1630,3,13000000
Kharghar,1550,3,11000000
Sector 18 Kharghar,1455,3,13000000
Kharghar,1750,3,16000000
Kharghar,1098,2,10500000
Sector 15 Kharghar,1210,2,13000000
Kharghar,1000,2,9500000
Kharghar,550,1,4500000
Kharghar,1550,3,11000000
Kharghar,1550,3,11000000
Kharghar,1630,3,13000000
Kharghar,1680,3,13600000
Kharghar,1650,3,16200000
Kharghar,1440,3,15000000
Kharghar,1370,3,13200000
Sector 18 Kharghar,1022,2,7500000
Kharghar,1000,2,9500000
Kharghar,1760,3,15000000
Kharghar,1100,2,7500000
Sector 20 Kharghar,1550,3,13000000
Kharghar,1675,3,16200000
Kharghar,1060,2,11000000
Kharghar,1150,2,11600000
Kharghar,670,1,5600000
Kharghar,900,2,8000000
Kharghar,1088,2,9500000
Dombivali,375,1,2018000
Churchgate,1200,2,65000000
Prabhadevi,1717,3,45000000
Jogeshwari West,750,2,16500000
Kalyan East,525,1,2375000
Malad East,1200,2,19500000
Virar East,420,1,2000000
Virar East,540,1,2500000
Virar East,415,1,2250000
Virar,650,1,2700000
Malad West,1100,2,22000000
Borivali East,1105,2,17000000
Malad East,2600,3,43500000
Mira Road East,700,1,4760000
Goregaon West,1296,2,18100000
Goregaon West,1638,3,23800000
Goregaon West,1465,3,21200000
Borivali East,700,1,8600000
Goregaon West,2030,3,36500000
Malad West,1450,3,23700000
Malad West,1100,2,21400000
Kandivali West,800,2,12500000
Kandivali West,1500,3,18000000
Kandivali West,1100,2,13200000
Kandivali West,1962,3,35300000
Borivali East,950,2,15300000
Kandivali West,1440,3,25000000
Kandivali West,1200,2,13899999
Borivali West,1785,3,33500000
Goregaon West,775,2,14500000
Kandivali West,765,1,9000000
Goregaon West,910,2,13500000
Goregaon West,640,1,9000000
Malad East,1264,2,21600000
Kandivali West,1056,2,13700000
Kandivali East,1810,3,27799999
Goregaon West,1656,3,27900000
Goregaon West,3888,4,81600000
Borivali West,2030,3,38600000
Andheri East,1114,3,17000000
Goregaon West,3585,4,60100000
Goregaon East,1404,2,27900000
Goregaon East,1620,3,31500000
Malad East,2780,4,37500000
Malad East,1672,3,31000000
Malad East,1200,2,21100000
Malad East,1200,2,16500000
Borivali East,1250,2,16000000
Borivali East,1840,3,26000000
Malad West,1170,2,15200000
Kharghar,310,1,2300000
Wadala,1245,3,33000000
Wadala,1153,3,29000000
Ulwe,573,2,11200000
Ulwe,1100,2,9000000
Ulwe,1135,2,8500000
Kharghar,1060,2,9000000
Malad West,560,1,11500000
Dahisar,1150,2,12100000
kandivali,1054,2,11000000
Goregaon,1695,3,27000000
Goregaon,1579,3,21600000
Goregaon,2153,3,30200000
Goregaon,1872,4,41200000
Goregaon,1717,3,30500000
Goregaon East,1675,4,36700000
Malad East,1672,3,23800000
Malad East,1457,3,20500000
Bhandup West,425,1,5500000
thakur village kandivali east,560,1,9000000
Santacruz West,1200,2,32500000
Kanjurmarg,575,1,8500000
Kanjurmarg,575,1,8500000
Borivali East,400,1,9000000
Kandivali East,300,1,2500000
I C Colony,400,1,5500000
Dahisar W,650,1,8000000
Malad East,1600,3,27500000
Marol,860,1,11500000
Parel,1320,2,35900000
Lower Parel,1200,2,42000000
Parel,1320,2,33100000
Worli,2826,3,106000000
Lower Parel,2880,3,101400000
Jogeshwari East,997,3,32500000
Jogeshwari East,1038,2,18500000
Malad West,600,1,11000000
Chembur Shell Colony,400,1,9200000
Central Avenue,2800,4,50100000
Chembur East,1400,3,33000000
Diamond Market Road,1500,3,34100000
Mulund,1412,3,21800000
Mulund,1412,3,21800000
Mulund,1412,3,21200000
Nalasopara West,545,1,3000000
raheja vihar,585,1,11000000
raheja vihar,1000,2,17900000
Powai Lake,1050,2,19500000
MHADA Colony 20,1014,2,19500000
Goregaon East,900,2,16000000
Tolaram Colony,600,1,11500000
Tolaram Colony,700,2,10500000
Taloja,1550,3,6400000
Thane West,5245,5,90000000
Vangani,529,1,2100000
Sector 20 Kharghar,530,1,3600000
Sector 5 Ulwe,1260,2,9200000
Sector12 New Panvel,1260,2,9000000
Sector 17 Ulwe,1150,2,9200000
Sector 17 Ulwe,690,1,5300000
Sector9 Kamothe,1240,3,15500000
Sector 19 Kharghar,1260,2,9500000
Sector 5 Ulwe,1240,2,9000000
Navi Basti,1265,2,10100000
Sector12 Kamothe,1260,2,10800000
Sector 21 Kamothe,1255,2,11000000
Sector 19 Kharghar,1055,2,7200000
Sector 5 Ulwe,1060,2,7000000
Navi Basti,1238,2,12700000
Sector12 Kamothe,1150,2,8500000
Sector12 Kamothe,1165,2,8500000
Sector9 Kamothe,1080,2,7700000
Sector12 Kamothe,1470,3,11000000
Sector9 Kamothe,610,1,6000000
Sector12 Kamothe,1180,2,9200000
Sector9 Kamothe,1735,3,15000000
Sector 17 Ulwe,1230,2,11000000
Sector 17 Ulwe,599,1,4500000
Sector9 Kamothe,980,2,8800000
Sector9 Kamothe,1654,3,16500000
Sector 17 Ulwe,1665,3,16800000
Sector 17 Ulwe,1640,3,16299999
Sector 17 Ulwe,1650,3,15500000
Taloja,980,2,4900000
Rutu Enclave,730,1,3400000
taloja panchanand,1020,2,4800000
Virar West,1075,2,6200000
Chembur,1600,3,33700000
Central Avenue,2800,4,50100000
Chembur,715,1,10700000
Chembur,1016,2,15000000
Chembur,1000,2,18500000
Chembur,1100,2,17600000
Sector 5 Ulwe,1060,2,7000000
Navi Basti,1238,2,12700000
Sector12 Kamothe,1150,2,8500000
Sector12 Kamothe,1165,2,8500000
Sector9 Kamothe,1080,2,7700000
Sector12 Kamothe,1470,3,11000000
Sector9 Kamothe,610,1,6000000
Sector12 Kamothe,1180,2,9200000
Sector9 Kamothe,1735,3,15000000
Sector 17 Ulwe,1230,2,11000000
Sector 17 Ulwe,599,1,4500000
Sector9 Kamothe,980,2,8800000
Sector9 Kamothe,1654,3,16500000
Sector 17 Ulwe,1665,3,16800000
Sector 17 Ulwe,1640,3,16299999
Sector 17 Ulwe,1650,3,15500000
Sector 20 Kamothe,578,1,5000000
Sector 22 Kamothe,650,1,5000000
Sector 21 Kamothe,600,1,4000000
Sector 22 Kamothe,600,1,5000000
Sector 18 Kamothe,625,1,6250000
Sector 22 Kamothe,600,1,4800000
Sector-5 Kamothe,560,1,3800000
Sector-6A Kamothe,580,1,3600000
Sector 11 Kamothe,530,1,4400000
Sector-18 Ulwe,650,1,5000000
Sector 21 Kamothe,1450,2,9000000
Sector-12 Kamothe,380,1,2600000
Navi Basti,400,1,2600000
azad nagar,620,2,21000000
Taloja,980,2,4900000
Rutu Enclave,730,1,3400000
taloja panchanand,1020,2,4800000
Virar West,1075,2,6200000
Jogeshwari East,1038,2,18500000
Chembur,1250,2,19600000
Sindhi Society Chembur,1067,2,18600000
Chembur,1200,2,21500000
Kurla,780,2,11000000
Sahkar Nagar,1020,2,13799999
Deonar,671,1,14000000
Kharghar,1650,3,22000000
Kharghar,1360,2,14500000
Kandivali East,1600,3,25000000
Kharghar,1250,2,11500000
Taloja,750,1,4000000
Taloja,450,1,2500000
Taloja,410,1,2300000
Lower Parel,1168,2,45000000
Thane,516,1,5700000
Jankalyan Nagar,900,1,9600000
Badlapur,600,1,2010000
Badlapur,575,1,2005000
Ambarnath,675,1,2548000
Ambarnath,660,1,2492000
Ambarnath,640,1,2418000
Ambernath West,690,1,2400000
Vakola,900,2,21700000
Jankalyan Nagar,1150,2,16700000
Jankalyan Nagar,350,1,2900000
Jankalyan Nagar,950,2,11500000
Vakola,900,2,21700000
Kamothe,620,1,4000000
Kamothe,980,2,6400000
Kamothe,950,2,6900000
Sector 17 Ulwe,890,2,7500000
Kamothe,619,1,5425000
Kamothe,710,1,5700000
Kamothe,887,2,7100000
Kamothe,1005,2,7800000
Kamothe,950,2,5900000
Kamothe Sector 16,660,1,6200000
Sector 17 Ulwe,650,1,5500000
Kamothe,650,1,5000000
Kamothe,638,1,4050000
Kamothe,675,2,5050000
Sector 17 Ulwe,890,2,7400000
Kamothe,1006,2,6800000
Kamothe,420,1,3000000
Kamothe,850,1,5200000
Kamothe,1005,2,6700000
Kamothe,900,2,6900000
Kamothe,940,2,7950000
Kamothe,620,1,5460000
Kamothe,650,2,4950000
Kamothe,1000,2,7000000
Kamothe,1100,2,8575000
Kamothe,600,1,4800000
Sector 17 Ulwe,350,1,2700000
Kamothe,940,2,7900000
Almeida Park,900,2,36000000
Khar,700,2,35000000
Bandra West,850,2,30000000
Pali Hill,800,2,35000000
15th Road,800,2,35000000
Palghar,770,1,2100000
Chembur,989,2,14500000
Kharghar,1550,3,14900000
Sector13 Kharghar,550,1,3700000
Sector 20 Kharghar,416,1,2700000
Kharghar,510,1,3850000
Kharghar,305,1,2850000
Kharghar,1251,2,12100000
Kharghar,989,2,6800000
Kharghar,850,2,6000000
Kharghar,989,2,6850000
Kharghar,900,2,5500000
Sector 21 Kharghar,1500,3,9200000
Sector 12 Kharghar,650,1,5000000
Kharghar,1750,3,17500000
Kharghar,1240,2,9400000
Kharghar,1560,3,16500000
Kharghar,640,1,3700000
Sector 21 Kharghar,350,1,2700000
Kharghar,1050,2,8000000
Kharghar,1770,3,22000000
Kharghar,1230,2,10200000
Kharghar,450,1,3100000
Kharghar,655,1,5500000
Santacruz West,780,2,32799999
Santacruz West,780,2,32799999
Vivek Vidyalaya Marg,550,1,11000000
Goregaon West,510,1,12000000
Goregaon West,1270,2,17000000
Vasai east,558,1,2900000
Nahur,1237,3,36100000
Badlapur West,715,1,3682000
Thane West,1179,2,11600000
Thane,495,1,2100000
Panvel,570,1,2700000
Kalyan,575,1,3600000
Badlapur East,675,1,2865000
Ambernath West,634,1,2374000
Mira Bhayandar,580,1,5200000
Malad West,1185,3,14000000
Goregaon West,2665,3,62500000
Malad West,1305,3,26500000
Malad West,995,2,13000000
Malad West,1014,2,10600000
Juhu,756,2,11000000
Nahur,1237,3,36100000
Badlapur West,715,1,3682000
Kalyan,575,1,3600000
Badlapur East,675,1,2865000
Thane West,1179,2,11600000
Thane,495,1,2100000
Panvel,570,1,2700000
Kalyan,670,1,3985000
Naigaon East,500,1,2200000
Naigaon East,500,1,2300000
Ambarnath,673,1,2650000
Mira Road East,650,1,4600000
Ambernath West,634,1,2374000
Ulwe,735,1,5000000
Sector 21 Ulwe,952,2,7200000
Bandra East,1141,3,72000000
Dronagiri,1150,2,6100000
Nerul,1250,2,18500000
Karanjade,650,1,4700000
Karanjade,690,1,4100000
Karanjade,670,1,4000000
Karanjade,654,1,4300000
Karanjade,630,1,3950000
Karanjade,635,1,3850000
Sanpada,1750,3,22500000
Sanpada,1250,2,17000000
Sector-18 Ulwe,687,1,6000000
Sector-8 Ulwe,1310,2,11100000
Dronagiri,690,1,3500000
Dronagiri,1070,2,5200000
Ulwe,540,1,5800000
Ulwe,1135,2,6200000
Sector-3 Ulwe,3000,4,27500000
Sector-3 Ulwe,1500,3,15500000
Sector-3 Ulwe,1440,2,13799999
Dronagiri,704,1,3400000
Dronagiri,688,1,3500000
Sector 17 Ulwe,667,1,5200000
Dronagiri,625,1,2400000
Sector 23 Ulwe,650,1,4900000
Sector-8 Ulwe,1310,2,11100000
Dronagiri,690,1,3500000
Dronagiri,1070,2,5200000
Ulwe,540,1,5800000
Ulwe,1135,2,6200000
Sector-3 Ulwe,3000,4,27500000
Sector-3 Ulwe,1500,3,15500000
Sector-3 Ulwe,1440,2,13799999
Dronagiri,704,1,3400000
Dronagiri,688,1,3500000
Sector 17 Ulwe,667,1,5200000
Dronagiri,625,1,2400000
Sector 23 Ulwe,650,1,4900000
Ulwe,610,1,4500000
Ulwe,1560,3,14500000
Sector 17 Ulwe,1150,2,8200000
Nerul,2130,3,29500000
Sector 17 Ulwe,665,1,4900000
Dronagiri,1155,2,5000000
Dronagiri,1120,2,5300000
Sector 17 Ulwe,1000,2,7000000
Sector 23 Ulwe,690,1,3588000
Sector 17 Ulwe,655,1,3800000
Sector 17 Ulwe,655,1,3500000
ULWE SECTOR 19,650,1,3700000
Ulwe,1220,2,8500000
Ulwe,700,1,4900000
Ghodbunder Road,547,1,5400000
Juhu,1435,3,60100000
Dronagiri,650,1,3000000
Dronagiri,665,1,3650000
Dronagiri,690,1,4200000
Dronagiri,675,1,3001000
Panvel,1250,2,6800000
Karanjade,625,1,3300000
Karanjade,530,1,2850000
Karanjade,395,1,2100000
Karanjade,1090,2,6300000
Karanjade,1010,2,6400000
Karanjade,1010,2,6000000
Ghodbunder Road,547,1,5400000
Juhu,1435,3,60100000
Dronagiri,650,1,3000000
Dronagiri,665,1,3650000
Dronagiri,690,1,4200000
Dronagiri,675,1,3001000
Sector 21 Ulwe,952,2,7200000
Dronagiri,1150,2,6100000
Bhiwandi,568,2,4000000
Vasai,1107,3,7500000
Nala Sopara,605,1,2580000
Nala Sopara,850,2,3594000
Vasai,778,2,5760000
Bhiwandi,802,2,6952000
Nala Sopara,570,1,2451000
Bhiwandi,829,2,6137000
Mira Road East,710,1,5600000
Bhiwandi,1227,3,8600000
Bhiwandi,1108,3,8100000
Bhiwandi,1032,2,8100000
Bhiwandi,985,2,7500000
Bhiwandi,880,2,6800000
Bhiwandi,829,2,6200000
Bhiwandi,802,2,5600000
Nala Sopara,709,2,6000000
Nala Sopara,534,1,4100000
Nala Sopara,965,2,4800000
Nala Sopara,730,1,3700000
Vasai,930,2,4600000
Vasai,650,1,3350000
Dadar East,2350,4,85000000
Dahisar,650,1,6500000
Ghatkopar,1462,3,18000000
Ghatkopar,676,1,8500000
Worli,2904,4,125000000
Breach Candy,1500,2,80000000
Wadala,1638,3,28800000
Wadala,1701,3,30000000
Wadala,2376,3,45100000
Wadala,2061,3,39200000
Wadala,1431,2,25400000
Kandivali West,1050,2,15200000
Andheri East,1260,2,20000000
Goregaon East,1404,2,29000000
Malad East,1200,3,30000000
Worli South Mumbai,1413,2,46500000
Andheri East,2016,3,33400000
Asangaon,574,1,2035000
Thane,507,1,8500000
Koparkhairane Station Road,1151,2,12500000
Thane,550,2,6600000
Thane,565,2,6900000
Thane,547,2,6800000
Thane,556,2,6700000
Thane,950,2,3000000
Thane,600,2,4500000
Thane,600,2,5300000
Thane,600,1,3000000
Thane,800,2,4500000
Thane,275,1,5300000
Koparkhairane Station Road,1050,2,10500000
Koparkhairane Station Road,1155,2,10000000
Sector 17 Ulwe,1350,2,16000000
Kopar Khairane Sector 19A,1760,3,17000000
Koper Khairane,1650,3,11700000
Koparkhairane Station Road,725,1,7500000
Kanjurmarg,1300,3,23000000
Thane,950,2,3000000
Thane,600,2,4500000
Thane,600,2,5300000
Thane,600,1,3000000
Thane,800,2,4500000
Thane,275,1,5300000
Thane,275,1,3000000
Thane,275,1,2000000
Thane,275,1,2000000
Thane,275,1,5300000
Thane,275,1,5300000
Thane,1065,2,4500000
Thane,275,1,2000000
Thane,275,1,2000000
Thane,275,1,5300000
Thane,275,1,3000000
Thane,275,1,2000000
Thane,275,1,5300000
Thane,275,1,5300000
Thane,275,1,2000000
Thane,275,1,5300000
Thane,275,1,5300000
Thane,275,1,2000000
Thane,275,1,2000000
Thane,275,1,2000000
Thane,275,1,2000000
Thane,275,1,8500000
Thane,275,1,5300000
Thane,275,1,2000000
Thane,275,1,5300000
Thane,275,1,5300000
Thane,275,1,3000000
Thane,275,1,2000000
Thane,530,1,3000000
Kandivali West,600,1,8800000
Eastern Express Highway Vikhroli,1245,2,17000000
Magathane,1257,2,20700000
Magathane,1175,2,18000000
Magathane,1053,2,17500000
Rawal Pada,1052,2,18500000
Ambernath East,730,1,3874000
Dokali Pada,650,2,8500000
Magathane,650,1,9600000
Magathane,650,1,10800000
Dattapada,1050,2,18500000
Dattapada,1250,2,21000000
Dattapada,1050,2,15000000
Magathane,1150,2,21000000
Magathane,1450,3,30000000
Magathane,1450,3,30000000
Magathane,1550,3,27000000
Magathane,1075,2,22100000
Magathane,1075,2,22100000
Dokali Pada,650,2,8500000
Magathane,650,1,9600000
Magathane,650,1,10800000
Dattapada,1050,2,18500000
Dattapada,1250,2,21000000
Dattapada,1050,2,15000000
Magathane,1150,2,21000000
Magathane,1450,3,30000000
Magathane,1450,3,30000000
Magathane,1550,3,27000000
Magathane,1075,2,22100000
Magathane,1075,2,22100000
Magathane,1350,3,18500000
Magathane,650,1,10500000
Dattapada,1050,2,16500000
Magathane,650,1,9600000
Dattapada,1350,3,28500000
Magathane,1650,3,28000000
Dattapada,1050,2,19000000
Rajendra Nagar,1350,3,18800000
Magathane,1650,3,27000000
Dattapada,950,2,15000000
Dattapada,1300,3,24000000
Dattapada,600,1,11200000
Magathane,1165,2,19000000
Magathane,1357,3,27500000
Dattapada,1500,3,23000000
Magathane,650,1,10000000
Magathane,1050,2,17000000
Dattapada,1050,2,15500000
Magathane,950,2,14500000
Magathane,1150,2,20500000
Magathane,1100,2,22500000
Magathane,1450,3,26500000
Dattapada,1100,3,23000000
Rajendra Nagar,1350,3,18000000
Rajendra Nagar,1350,3,19000000
Magathane,1650,3,29000000
Magathane,1050,2,16500000
Magathane,1150,2,20500000
Rajendra Nagar,1150,3,19000000
Magathane,1050,2,20500000
Magathane,585,1,9800000
Magathane,585,1,9800000
Magathane,1250,2,21000000
Kulupwadi,950,2,14500000
Dattapada,1050,2,16500000
Dattapada,1050,2,18000000
Magathane,1250,2,21000000
Dattapada,1050,2,15000000
Magathane,1650,3,29000000
Magathane,1650,3,29000000
Magathane,1050,2,16500000
Kandivali East,1170,3,28200000
Kandivali East,1014,3,26400000
Kandivali East,764,2,16800000
Kandivali East,820,2,18600000
Magathane,1050,2,17500000
Samata Nagar Thakur Village,1350,3,26000000
Samata Nagar Thakur Village,1350,3,28000000
Sector 17 Ulwe,1350,2,16000000
Kopar Khairane Sector 19A,1760,3,17000000
Koper Khairane,1650,3,11700000
Koparkhairane Station Road,725,1,7500000
Kanjurmarg,1300,3,23000000
Mira Road and Beyond,654,1,10900000
Mira Road and Beyond,400,1,7400000
Mira Road and Beyond,450,1,7300000
West Amardeep Colony,1100,2,17600000
Pant Nagar,385,1,7500000
mumbai,1346,3,36100000
Mira Road and Beyond,810,2,6000000
Mira Road and Beyond,700,2,4200000
Mira Road and Beyond,1417,3,9800000
Mira Road and Beyond,783,2,3500000
Mira Road and Beyond,770,1,5800000
Mira Road and Beyond,400,1,2700000
Mira Road and Beyond,750,2,4200000
Mira Road and Beyond,1180,2,6400000
Mira Road and Beyond,565,1,3500000
Four Bungalows,850,2,9500000
Four Bungalows,450,1,7000000
Dattapada,950,2,17500000
Dattapada,1250,3,19500000
no 9,1350,3,26000000
Dattapada,1200,3,19500000
Dattapada,850,2,16000000
Rajendra Nagar,1350,3,19000000
Magathane,1650,3,27000000
Magathane,1650,3,27000000
Rajendra Nagar,1350,3,18000000
Magathane,1150,2,20500000
Magathane,1450,3,26500000
Magathane,1350,3,18500000
Magathane,1250,3,20000000
Rajendra Nagar,1100,3,19100000
Magathane,1450,3,30000000
Magathane,1100,2,22500000
Kandivali East,560,2,12000000
kolshet,1000,2,12000000
Hiranandani Meadows,1580,3,28000000
Hiranandani Meadows,1345,3,21500000
Badlapur,505,1,2170000
Kalpataru,1225,2,19500000
kolshet,1026,2,9000000
Thane,900,2,3500000
Kharghar,852,2,9500000
Thane West,1157,2,13000000
Malad West,874,2,16000000
Khar,969,2,35000000
Khar,950,2,34800000
taloja panchanand,1115,2,7900000
taloja panchanand,690,1,4700000
Petali,422,1,3800000
kolshet,936,2,9800000
kolshet,576,1,5900000
Borivali East,600,1,11299999
Borivali East,907,2,15500000
Kamothe,1175,2,8725000
Kharghar Sector 34C,1525,2,13200000
Bhandup West,543,1,6800000
Wadala,1267,3,31000000
Wadala,1735,3,40000000
Ghatkopar East,3410,4,58500000
Malad West,1850,3,40199999
Mumbai Agra National Highway,702,1,5000000
Dahisar,566,1,6500000
Malad West,1310,3,21500000
vasant vihar thane west,506,1,6400000
Thane West,509,1,6400000
Kalyan West,950,2,7000000
Shirgaon,685,1,2350000
Kandivali East,2415,4,29500000
Pokhran 2,900,2,10500000
Sector 20 Kharghar,1440,3,11000000
Virar,650,1,2800000
Mira Road East,820,2,8000000
Nala Sopara,590,1,2600000
Mira Road East,650,1,6000000
Mira Road East,700,1,4800000
Kharghar,1600,3,17500000
Kharghar,1140,2,10000000
Kharghar,1502,3,16500000
Kharghar,1600,3,17500000
Kharghar,650,1,4800000
Kharghar,1600,3,14000000
Kharghar,1140,2,10000000
Kharghar,1325,2,10000000
Kharghar,1725,3,12500000
Kharghar,1256,2,13500000
Kharghar,1600,3,16500000
Kharghar,1600,3,16500000
Kharghar,2030,3,21000000
Kharghar,1725,3,12500000
Kharghar,1680,3,16000000
Kharghar,1810,3,17000000
Kharghar,1325,2,10000000
Kharghar,1725,3,12500000
Kharghar,1210,2,9500000
Kharghar,3275,4,31100000
Kharghar,1680,3,16000000
Kharghar,1810,3,17000000
Kharghar,1325,2,10000000
Kharghar,1725,3,12500000
Kharghar,1210,2,9500000
Kharghar,3275,4,31100000
Kharghar,3205,4,30400000
Kharghar,1305,2,12300000
Kharghar,1230,2,11600000
Kharghar,1725,3,16000000
Kharghar,1210,2,9600000
Kharghar,1660,3,16500000
Kharghar,1700,3,18500000
Kharghar,1130,2,15500000
Kharghar,1810,3,17900000
Kharghar,3205,4,30400000
Kharghar,1482,3,13300000
Kandivali East,1890,4,28000000
Kanjurmarg,484,1,8500000
juhu tara,2200,3,180000000
Mira Road and Beyond,320,1,3000000
Goregaon East,1618,3,29400000
Kandivali East,1475,3,31000000
Kandivali East,1350,3,24500000
Borivali West,1300,2,22000000
Malad West,970,2,16000000
Kandivali West,1500,3,17500000
Kandivali East,1786,3,31500000
Kandivali West,1500,3,26500000
Kandivali East,1920,4,47000000
Kandivali East,1350,2,21000000
Kandivali East,400,1,6100000
Peddar Road,2000,3,100000000
Bhandup West,640,2,13500000
Bhandup West,510,1,5500000
Ulwe,650,1,4500000
Palm Beach,1175,2,16500000
Mira Road East,661,1,4800000
Goregaon West,1500,3,21500000
Lower Parel,5476,5,360000000
Sector 21 Kamothe,619,1,5500000
Sector 21 Kamothe,619,1,5600000
Sector 21 Kamothe,1250,2,9500000
Sector12 Kamothe,995,2,7000000
